num_epochs,H1,H2,lambda_,learning_rate,lr_decay,loss_val,acc_val
100,50,100,0.01,0.01,False,0.04612743591589204,0.8659166666666667
200,50,50,0.01,0.01,True,0.05137408576676323,0.86575
100,150,50,0.1,0.001,False,0.08636325749020021,0.8656666666666667
200,50,100,0.01,0.01,True,0.04438653640074575,0.8656666666666667
200,150,50,0.001,0.01,True,0.05733712547874449,0.8654166666666666
200,100,100,0.001,0.01,True,0.055331424172722854,0.8654166666666666
200,150,100,0.01,0.001,False,0.05214918997294426,0.86525
100,150,100,0.1,0.01,False,0.05168411202909312,0.86525
100,50,150,0.01,0.01,False,0.04413743990511706,0.86525
200,100,150,0.01,0.01,False,0.04500259499502598,0.8651666666666666
100,50,150,0.001,0.01,True,0.04448886138241543,0.8650833333333333
200,100,50,0.001,0.01,True,0.05487696269045231,0.8648333333333333
200,100,150,0.01,0.001,True,0.05188950655477888,0.8645
200,50,50,0.001,0.01,True,0.050196729293795754,0.8643333333333333
100,50,50,0.1,0.001,False,0.08666640965693109,0.8643333333333333
100,100,50,0.1,0.001,False,0.08723716363868586,0.8641666666666666
100,50,150,0.001,0.01,False,0.04472486149111627,0.86375
200,150,150,0.01,0.001,False,0.05203120966058186,0.86375
100,100,150,0.001,0.01,False,0.048576559283043205,0.8636666666666667
200,50,100,0.001,0.01,False,0.050388250082294785,0.8633333333333333
200,100,50,0.01,0.001,True,0.05417329633050361,0.8633333333333333
100,100,50,0.001,0.01,True,0.046128081436993595,0.8633333333333333
200,150,50,0.01,0.001,True,0.05376266973407556,0.8630833333333333
100,50,50,0.1,0.01,False,0.07356734136206294,0.86275
200,100,100,0.01,0.001,True,0.052174562016257794,0.8624166666666667
100,100,100,0.001,0.01,False,0.04687249714232595,0.8623333333333333
200,50,100,0.01,0.001,True,0.05116028309099427,0.86175
200,50,50,0.01,0.001,True,0.054008335909868255,0.86175
200,50,150,0.001,0.01,True,0.05403664431229979,0.86175
200,100,100,0.001,0.01,False,0.05306686079872037,0.8616666666666667
200,50,150,0.01,0.001,False,0.05091302520814388,0.8615833333333334
200,50,150,0.01,0.001,True,0.050196799726548155,0.8615833333333334
100,150,50,0.001,0.01,False,0.04834359448665796,0.8613333333333333
200,100,50,0.01,0.001,False,0.05388276013062784,0.861
200,150,50,0.01,0.001,False,0.05498118918548817,0.8601666666666666
200,150,150,0.01,0.001,True,0.05328237499389117,0.86
200,50,100,0.001,0.001,True,0.04156964356335873,0.86
200,150,100,0.01,0.001,True,0.05451108056183026,0.86
100,100,50,0.1,0.01,True,0.06599574825377137,0.85925
200,150,100,0.001,0.001,True,0.043201652109982246,0.8591666666666666
200,50,50,0.001,0.001,True,0.04257668384100805,0.8590833333333333
200,150,150,0.001,0.001,False,0.04366509267382447,0.8589166666666667
200,150,50,0.001,0.001,False,0.043893794962087625,0.8589166666666667
200,100,50,0.001,0.001,True,0.04266273814051295,0.85825
200,50,100,0.1,0.001,True,0.05978385277114906,0.85825
100,50,50,0.001,0.01,True,0.04896989632032654,0.858
200,100,100,0.01,0.001,False,0.05258606370389063,0.8579166666666667
200,50,50,0.01,0.001,False,0.05388289850674148,0.8578333333333333
200,50,50,0.1,0.01,True,0.0726530658640093,0.8574166666666667
200,100,100,0.001,0.001,True,0.04326116334773676,0.8573333333333333
100,100,100,0.1,0.001,True,0.0749943012138891,0.85725
200,50,100,0.01,0.001,False,0.05136774399593946,0.857
200,100,50,0.1,0.01,True,0.06896824973232887,0.857
100,100,150,0.01,0.01,False,0.054361053633838724,0.8568333333333333
100,50,100,0.001,0.01,False,0.04689182975549707,0.8568333333333333
100,150,50,0.01,0.01,False,0.05268836179836793,0.85675
100,50,150,0.1,0.001,False,0.070028175324137,0.8566666666666667
200,50,150,0.001,0.001,True,0.042623270295993054,0.8564166666666667
200,50,50,0.001,0.001,False,0.04228240841481122,0.8563333333333333
200,100,50,0.001,0.001,False,0.04264316892656486,0.8563333333333333
200,50,100,0.001,0.001,False,0.042975083587045125,0.8560833333333333
200,150,50,0.001,0.001,True,0.04439913535049208,0.85575
100,100,100,0.01,0.001,True,0.0531273256542188,0.8555833333333334
100,100,150,0.1,0.01,True,0.04969403909876332,0.8555
200,100,100,0.1,0.01,False,0.057264043939516535,0.8554166666666667
100,150,50,0.001,0.001,True,0.04360906275644529,0.85525
200,100,100,0.001,0.001,False,0.04304557790097382,0.8550833333333333
100,100,100,0.1,0.01,False,0.05319001830709225,0.8549166666666667
200,100,100,0.1,0.01,True,0.053433281874546455,0.8543333333333333
100,100,50,0.01,0.001,False,0.05526284671702191,0.8541666666666666
100,150,150,0.01,0.001,False,0.05372426008412588,0.8539166666666667
100,150,50,0.01,0.001,True,0.05642866196254715,0.8538333333333333
200,150,150,0.001,0.001,True,0.04597517435955929,0.85375
100,150,150,0.001,0.01,False,0.06723637657722843,0.85375
100,100,100,0.01,0.001,False,0.05446967087134118,0.85375
100,150,100,0.01,0.001,True,0.05442615466263637,0.8536666666666667
100,150,150,0.01,0.001,True,0.05343754706814674,0.8535833333333334
100,150,100,0.001,0.01,False,0.05338506557894249,0.8535
100,100,100,0.001,0.001,True,0.0423999014460343,0.8533333333333334
100,150,100,0.01,0.001,False,0.054098899566681805,0.85325
200,150,100,0.001,0.001,False,0.04528848071469781,0.8525
100,100,150,0.01,0.001,False,0.054425387077485045,0.8520833333333333
200,100,150,0.001,0.001,False,0.04531838332580954,0.8520833333333333
200,50,150,0.001,0.001,False,0.04336597092062303,0.8518333333333333
100,100,150,0.01,0.001,True,0.054312551812456734,0.8514166666666667
200,100,150,0.01,0.001,False,0.0552863379169037,0.8513333333333334
100,150,50,0.001,0.001,False,0.04371498978611869,0.8513333333333334
100,100,100,0.1,0.01,True,0.0543812379450179,0.85125
100,100,50,0.01,0.001,True,0.05690805373433549,0.8509166666666667
100,100,100,0.01,0.01,False,0.05307237433543176,0.8505833333333334
100,50,100,0.01,0.001,False,0.054349155279300475,0.8505
200,100,150,0.1,0.01,True,0.05484449816566958,0.8504166666666667
200,100,150,0.001,0.01,False,0.07547215776969829,0.8504166666666667
100,150,50,0.001,0.01,True,0.053903510168512955,0.8500833333333333
100,150,50,0.01,0.001,False,0.055908307263210014,0.8500833333333333
100,150,150,0.001,0.001,False,0.04494574980966433,0.84975
100,150,100,0.001,0.001,False,0.044191091473604616,0.8496666666666667
100,100,50,0.001,0.001,False,0.04436335806496499,0.8496666666666667
200,100,150,0.001,0.001,True,0.0449076790557031,0.8496666666666667
100,50,50,0.001,0.01,False,0.05288236851944044,0.8495833333333334
100,50,150,0.01,0.001,True,0.05478710280627782,0.8493333333333334
100,150,150,0.001,0.001,True,0.04462039866126298,0.84925
100,100,150,0.001,0.001,True,0.04358532790169078,0.8490833333333333
100,50,100,0.001,0.001,False,0.044674265072593616,0.84875
200,50,100,0.1,0.01,True,0.05945653752968717,0.8486666666666667
200,100,100,0.01,0.01,True,0.04966777291069625,0.8486666666666667
100,50,50,0.01,0.001,False,0.057613316665039126,0.8484166666666667
100,100,100,0.001,0.01,True,0.06294640450362399,0.8480833333333333
200,150,50,0.1,0.001,False,0.07707049765063398,0.8480833333333333
100,100,100,0.001,0.001,False,0.043788773412399146,0.8478333333333333
100,50,100,0.001,0.001,True,0.044699156346911725,0.8475833333333334
100,50,100,0.01,0.001,True,0.055667507913285404,0.8470833333333333
100,100,50,0.1,0.01,False,0.07117104798061545,0.8464166666666667
100,100,50,0.001,0.001,True,0.043887921548792,0.8463333333333334
100,50,150,0.1,0.01,False,0.057742601083333,0.84625
100,100,150,0.1,0.01,False,0.051319013260469566,0.8460833333333333
100,50,50,0.01,0.001,True,0.05775731752315048,0.8460833333333333
100,50,100,0.1,0.01,False,0.06650066886930517,0.846
100,50,100,0.001,0.01,True,0.04859241099293818,0.846
100,150,100,0.001,0.001,True,0.04524389923733271,0.8459166666666667
100,100,150,0.001,0.001,False,0.04568631062985185,0.84575
100,150,150,0.1,0.01,True,0.05177315226964344,0.84575
100,150,150,0.1,0.01,False,0.053333205692889275,0.8454166666666667
100,50,150,0.01,0.001,False,0.05557857370103866,0.845
100,50,50,0.001,0.001,False,0.044772918937063755,0.8446666666666667
100,150,150,0.1,0.001,True,0.07819278804707638,0.8445
100,50,50,0.001,0.001,True,0.04465404394454095,0.844
100,150,100,0.1,0.01,True,0.058065048905130645,0.8425
200,50,150,0.1,0.01,False,0.05729250993122027,0.8423333333333334
100,50,150,0.001,0.001,False,0.04640955062274514,0.8406666666666667
100,50,150,0.001,0.001,True,0.04721876506729012,0.835
200,50,100,0.1,0.01,False,0.06406657070521192,0.8346666666666667
200,150,150,0.1,0.0001,True,0.14428501761766807,0.8311666666666667
200,150,150,0.1,0.01,True,0.05189114116297438,0.83075
100,50,50,0.01,0.01,True,0.05968402078199846,0.8303333333333334
200,50,50,0.1,0.01,False,0.08471822173033478,0.8280833333333333
200,150,150,0.1,0.0001,False,0.14741899132077024,0.8275
200,150,150,0.01,0.01,False,0.053862665195800755,0.8268333333333333
200,150,100,0.1,0.0001,False,0.14834153456802404,0.82675
100,150,50,0.1,0.01,False,0.07358620929822324,0.8265
200,100,100,0.1,0.0001,False,0.14822706583219658,0.8261666666666667
100,150,50,0.1,0.01,True,0.0746749253802663,0.8255833333333333
200,150,50,0.1,0.0001,False,0.15718160370515588,0.8251666666666667
200,100,150,0.1,0.0001,False,0.1509274604130781,0.8234166666666667
200,150,100,0.1,0.0001,True,0.14967762254136802,0.82325
200,150,50,0.1,0.0001,True,0.15953176383613937,0.823
200,100,150,0.1,0.0001,True,0.15271673608963943,0.8214166666666667
200,100,150,0.01,0.0001,False,0.06391332602551339,0.8214166666666667
200,100,50,0.1,0.0001,True,0.15838295165177962,0.82125
200,100,100,0.01,0.0001,False,0.0640693721089328,0.82125
200,150,150,0.01,0.0001,True,0.06548462157212867,0.8204166666666667
200,150,150,0.001,0.0001,True,0.05151241017831476,0.82025
200,150,100,0.01,0.0001,False,0.0637918188411086,0.8201666666666667
